DATA,HORA,ORIGEM,DESTINO,TR
08/04/2014,09:33:00,888-888,518-403,I
08/04/2014,09:35:00,888-888,518-403,F
08/04/2014,09:35:00,777-777,664-435,I
08/04/2014,09:38:00,777-777,664-435,F
08/04/2014,09:38:00,777-777,437-032,I
08/04/2014,09:40:00,999-999,693-046,F
08/04/2014,09:49:00,777-777,437-032,F
08/04/2014,09:50:00,888-888,139-853,I
08/04/2014,09:58:00,777-777,706-375,I
08/04/2014,10:03:00,999-999,834-103,I
08/04/2014,10:15:00,777-777,706-375,F
08/04/2014,10:20:00,888-888,139-853,F
08/04/2014,10:31:00,777-777,518-403,I
08/04/2014,10:42:00,999-999,834-103,F
08/04/2014,10:48:00,777-777,518-403,F
08/04/2014,10:55:00,888-888,946-500,I
08/04/2014,11:12:00,999-999,729-133,I
08/04/2014,11:27:00,777-777,205-205,I
08/04/2014,11:33:00,999-999,729-133,F
08/04/2014,11:41:00,888-888,946-500,F
08/04/2014,11:51:00,777-777,205-205,F
08/04/2014,11:55:00,999-999,192-992,I
08/04/2014,12:38:00,777-777,358-198,I
08/04/2014,12:40:00,888-888,286-218,I
08/04/2014,12:50:00,999-999,192-992,F
08/04/2014,12:54:00,999-999,569-307,I
08/04/2014,12:59:00,999-999,569-307,F
08/04/2014,13:02:00,888-888,286-218,F
08/04/2014,13:04:00,999-999,156-115,I
08/04/2014,13:22:00,999-999,156-115,F
08/04/2014,13:24:00,888-888,761-931,I
08/04/2014,14:02:00,999-999,420-586,I
08/04/2014,14:07:00,777-777,358-198,F
08/04/2014,14:10:00,777-777,347-222,I
08/04/2014,14:13:00,888-888,761-931,F
08/04/2014,14:31:00,999-999,420-586,F
08/04/2014,14:36:00,999-999,651-336,I
08/04/2014,14:45:00,888-888,511-261,I
08/04/2014,14:57:00,999-999,651-336,F
08/04/2014,15:04:00,777-777,347-222,F
08/04/2014,15:04:00,777-777,185-652,I
08/04/2014,15:15:00,999-999,584-794,I
08/04/2014,15:27:00,888-888,511-261,F
08/04/2014,15:35:00,999-999,584-794,F
08/04/2014,15:38:00,888-888,468-349,I
08/04/2014,15:42:00,888-888,468-349,F
08/04/2014,15:50:00,999-999,102-704,I
08/04/2014,15:54:00,888-888,368-095,I
08/04/2014,15:55:00,777-777,185-652,F
08/04/2014,16:05:00,888-888,368-095,F
08/04/2014,16:07:00,999-999,102-704,F
08/04/2014,16:08:00,999-999,850-469,I
08/04/2014,16:17:00,888-888,850-469,I
08/04/2014,16:18:00,888-888,850-469,F
08/04/2014,16:27:00,777-777,689-975,I
08/04/2014,16:44:00,999-999,850-469,F
08/04/2014,16:49:00,777-777,689-975,F
08/04/2014,16:53:00,888-888,494-318,I
08/04/2014,17:37:00,777-777,420-586,I
08/04/2014,17:47:00,888-888,494-318,F
08/04/2014,17:47:00,777-777,420-586,F
08/04/2014,18:04:00,999-999,837-966,I
08/04/2014,18:06:00,999-999,837-966,F
08/04/2014,18:14:00,888-888,693-046,I
08/04/2014,18:39:00,777-777,711-811,I
08/04/2014,18:43:00,888-888,693-046,F
08/04/2014,18:44:00,999-999,644-829,I
08/04/2014,18:48:00,888-888,270-713,I
08/04/2014,19:01:00,999-999,644-829,F
08/04/2014,19:30:00,999-999,651-336,I
08/04/2014,19:34:00,888-888,270-713,F
08/04/2014,19:47:00,777-777,711-811,F
08/04/2014,19:54:00,999-999,651-336,F
08/04/2014,20:03:00,777-777,175-794,I
08/04/2014,20:04:00,999-999,133-919,I
08/04/2014,20:04:00,888-888,884-481,I
08/04/2014,20:10:00,777-777,175-794,F
08/04/2014,20:27:00,999-999,133-919,F
08/04/2014,20:33:00,777-777,243-240,I
08/04/2014,20:38:00,777-777,243-240,F
08/04/2014,21:00:00,777-777,554-823,I
08/04/2014,21:02:00,888-888,884-481,F
08/04/2014,21:04:00,999-999,186-069,I
08/04/2014,21:05:00,888-888,728-994,I
08/04/2014,21:16:00,999-999,186-069,F
08/04/2014,21:18:00,999-999,180-434,I
08/04/2014,21:29:00,999-999,180-434,F
08/04/2014,21:32:00,888-888,728-994,F
08/04/2014,21:37:00,888-888,830-001,I
08/04/2014,21:46:00,777-777,554-823,F
08/04/2014,21:49:00,999-999,426-972,I
08/04/2014,21:52:00,777-777,393-359,I
08/04/2014,22:05:00,888-888,830-001,F
08/04/2014,22:08:00,777-777,393-359,F
08/04/2014,22:13:00,999-999,426-972,F
08/04/2014,22:15:00,999-999,295-838,I
08/04/2014,22:36:00,777-777,706-375,I
08/04/2014,22:53:00,999-999,295-838,F
08/04/2014,22:58:00,777-777,706-375,F
08/04/2014,23:21:00,888-888,129-360,I
08/04/2014,23:39:00,999-999,711-811,I
08/04/2014,23:42:00,999-999,711-811,F
08/04/2014,23:51:00,777-777,220-106,I
09/04/2014,00:22:00,777-777,220-106,F
09/04/2014,00:35:00,888-888,129-360,F
09/04/2014,00:35:00,999-999,644-829,I
09/04/2014,00:38:00,888-888,540-451,I
09/04/2014,00:45:00,999-999,644-829,F
09/04/2014,00:48:00,999-999,524-351,I
09/04/2014,01:01:00,888-888,540-451,F
09/04/2014,01:03:00,999-999,524-351,F
09/04/2014,01:04:00,777-777,521-151,I
09/04/2014,01:12:00,777-777,521-151,F
09/04/2014,01:14:00,888-888,814-087,I
09/04/2014,01:16:00,777-777,192-992,I
09/04/2014,01:16:00,999-999,570-391,I
09/04/2014,01:20:00,777-777,192-992,F
09/04/2014,01:20:00,999-999,570-391,F
09/04/2014,01:21:00,999-999,977-895,I
09/04/2014,01:23:00,777-777,156-115,I
09/04/2014,01:36:00,888-888,814-087,F
09/04/2014,02:13:00,999-999,977-895,F
09/04/2014,02:18:00,777-777,156-115,F
09/04/2014,02:57:00,777-777,384-737,I
09/04/2014,02:57:00,999-999,895-483,I
09/04/2014,03:01:00,777-777,384-737,F
09/04/2014,03:04:00,999-999,895-483,F
09/04/2014,03:10:00,999-999,778-692,I
09/04/2014,03:13:00,777-777,729-133,I
09/04/2014,03:27:00,999-999,778-692,F
09/04/2014,03:39:00,999-999,700-151,I
09/04/2014,03:47:00,999-999,700-151,F
09/04/2014,03:53:00,999-999,914-310,I
09/04/2014,04:18:00,888-888,689-975,I
09/04/2014,04:37:00,999-999,914-310,F
09/04/2014,04:43:00,777-777,729-133,F
09/04/2014,04:47:00,999-999,706-375,I
09/04/2014,04:48:00,888-888,689-975,F
09/04/2014,04:49:00,999-999,706-375,F
09/04/2014,04:51:00,999-999,659-340,I
09/04/2014,05:15:00,888-888,470-128,I
09/04/2014,05:33:00,888-888,470-128,F
09/04/2014,05:35:00,777-777,728-994,I
09/04/2014,05:43:00,888-888,829-984,I
09/04/2014,06:00:00,888-888,829-984,F
09/04/2014,06:15:00,999-999,659-340,F
09/04/2014,06:16:00,888-888,830-719,I
09/04/2014,06:23:00,888-888,830-719,F
09/04/2014,07:04:00,777-777,728-994,F
09/04/2014,07:23:00,999-999,946-500,I
09/04/2014,07:23:00,888-888,728-994,I
09/04/2014,07:27:00,777-777,243-240,I
09/04/2014,07:28:00,888-888,728-994,F
09/04/2014,07:34:00,888-888,374-261,I
09/04/2014,07:38:00,888-888,374-261,F
09/04/2014,08:13:00,888-888,693-046,I
09/04/2014,08:16:00,999-999,946-500,F
09/04/2014,08:21:00,777-777,243-240,F
09/04/2014,08:30:00,777-777,540-451,I
09/04/2014,08:31:00,888-888,693-046,F
09/04/2014,08:32:00,888-888,334-388,I
09/04/2014,08:51:00,999-999,139-853,I
09/04/2014,08:53:00,777-777,540-451,F
09/04/2014,09:04:00,888-888,334-388,F
09/04/2014,09:15:00,888-888,249-168,I
09/04/2014,09:29:00,888-888,249-168,F
09/04/2014,09:35:00,777-777,700-151,I
09/04/2014,09:40:00,777-777,700-151,F
09/04/2014,09:42:00,777-777,560-747,I
09/04/2014,09:52:00,999-999,139-853,F
09/04/2014,10:41:00,888-888,384-737,I
09/04/2014,10:41:00,999-999,560-747,I
09/04/2014,10:45:00,888-888,384-737,F
09/04/2014,11:01:00,777-777,560-747,F
09/04/2014,11:20:00,999-999,560-747,F
09/04/2014,11:20:00,777-777,470-128,I
09/04/2014,11:25:00,777-777,470-128,F
09/04/2014,11:30:00,888-888,449-580,I
09/04/2014,11:32:00,888-888,449-580,F
09/04/2014,11:36:00,999-999,641-926,I
09/04/2014,11:40:00,999-999,641-926,F
09/04/2014,11:41:00,777-777,521-151,I
09/04/2014,11:47:00,777-777,521-151,F
09/04/2014,11:53:00,777-777,700-151,I
09/04/2014,11:59:00,777-777,700-151,F
09/04/2014,12:03:00,888-888,530-135,I
09/04/2014,12:20:00,999-999,700-151,I
09/04/2014,12:33:00,999-999,700-151,F
09/04/2014,12:39:00,777-777,540-451,I
09/04/2014,12:42:00,888-888,530-135,F
09/04/2014,12:44:00,999-999,837-966,I
09/04/2014,12:49:00,888-888,654-531,I
09/04/2014,12:54:00,888-888,654-531,F
09/04/2014,12:57:00,999-999,837-966,F
09/04/2014,13:03:00,777-777,540-451,F
09/04/2014,13:10:00,888-888,693-046,I
09/04/2014,13:40:00,777-777,826-107,I
09/04/2014,13:40:00,777-777,826-107,F
09/04/2014,13:54:00,777-777,560-747,I
09/04/2014,14:00:00,888-888,693-046,F
09/04/2014,14:10:00,888-888,761-931,I
09/04/2014,14:30:00,999-999,131-864,I
09/04/2014,14:38:00,777-777,560-747,F
09/04/2014,14:56:00,999-999,131-864,F
09/04/2014,15:05:00,777-777,834-103,I
09/04/2014,15:09:00,888-888,761-931,F
09/04/2014,15:55:00,777-777,834-103,F
09/04/2014,16:17:00,777-777,545-330,I
09/04/2014,16:37:00,888-888,598-389,I
09/04/2014,16:46:00,777-777,545-330,F
09/04/2014,16:52:00,999-999,186-069,I
09/04/2014,17:06:00,777-777,518-403,I
09/04/2014,17:10:00,777-777,518-403,F
09/04/2014,17:18:00,777-777,638-233,I
09/04/2014,17:22:00,777-777,638-233,F
09/04/2014,17:34:00,888-888,598-389,F
09/04/2014,17:38:00,777-777,977-895,I
09/04/2014,18:09:00,888-888,795-375,I
09/04/2014,18:09:00,999-999,186-069,F
09/04/2014,18:20:00,888-888,795-375,F
09/04/2014,18:36:00,777-777,977-895,F
09/04/2014,18:55:00,888-888,374-261,I
09/04/2014,18:57:00,888-888,374-261,F
09/04/2014,19:11:00,888-888,309-289,I
09/04/2014,19:11:00,777-777,550-515,I
09/04/2014,19:15:00,999-999,148-880,I
09/04/2014,19:45:00,777-777,550-515,F
09/04/2014,19:45:00,888-888,309-289,F
09/04/2014,19:49:00,777-777,728-994,I
09/04/2014,20:09:00,999-999,148-880,F
09/04/2014,20:16:00,888-888,511-261,I
09/04/2014,20:19:00,999-999,524-351,I
09/04/2014,20:42:00,999-999,524-351,F
09/04/2014,21:00:00,888-888,511-261,F
09/04/2014,21:17:00,999-999,192-992,I
09/04/2014,21:19:00,888-888,826-107,I
09/04/2014,21:37:00,777-777,728-994,F
09/04/2014,21:42:00,888-888,826-107,F
09/04/2014,21:52:00,888-888,494-318,I
09/04/2014,21:59:00,888-888,494-318,F
09/04/2014,22:37:00,777-777,148-880,I
09/04/2014,22:44:00,888-888,295-838,I
09/04/2014,22:45:00,777-777,148-880,F
09/04/2014,23:06:00,777-777,728-994,I
09/04/2014,23:14:00,777-777,728-994,F
09/04/2014,23:14:00,888-888,295-838,F
09/04/2014,23:15:00,999-999,192-992,F
09/04/2014,23:17:00,888-888,286-218,I
09/04/2014,23:25:00,888-888,286-218,F
09/04/2014,23:29:00,777-777,315-664,I
09/04/2014,23:31:00,777-777,315-664,F
09/04/2014,23:40:00,777-777,693-046,I
09/04/2014,23:49:00,888-888,276-237,I
09/04/2014,23:52:00,888-888,276-237,F
09/04/2014,23:55:00,777-777,693-046,F
10/04/2014,00:09:00,888-888,644-829,I
10/04/2014,00:28:00,888-888,644-829,F
10/04/2014,00:33:00,999-999,127-743,I
10/04/2014,00:38:00,777-777,962-084,I
10/04/2014,00:45:00,777-777,962-084,F
10/04/2014,00:49:00,777-777,110-733,I
10/04/2014,00:58:00,888-888,460-290,I
10/04/2014,01:18:00,777-777,110-733,F
10/04/2014,01:18:00,999-999,127-743,F
10/04/2014,01:19:00,777-777,977-895,I
10/04/2014,01:31:00,777-777,977-895,F
10/04/2014,01:35:00,777-777,185-652,I
10/04/2014,01:48:00,777-777,185-652,F
10/04/2014,01:49:00,999-999,638-077,I
10/04/2014,01:52:00,777-777,384-737,I
10/04/2014,01:54:00,888-888,460-290,F
10/04/2014,01:57:00,777-777,384-737,F
10/04/2014,02:04:00,999-999,638-077,F
10/04/2014,02:14:00,888-888,511-261,I
10/04/2014,02:30:00,999-999,711-811,I
10/04/2014,02:37:00,888-888,511-261,F
10/04/2014,02:46:00,777-777,668-901,I
10/04/2014,02:47:00,888-888,606-969,I
10/04/2014,02:55:00,888-888,606-969,F
10/04/2014,03:00:00,777-777,668-901,F
10/04/2014,03:06:00,999-999,711-811,F
10/04/2014,03:15:00,777-777,711-811,I
10/04/2014,03:19:00,777-777,711-811,F
10/04/2014,03:22:00,999-999,651-336,I
10/04/2014,03:27:00,888-888,156-115,I
10/04/2014,03:27:00,888-888,156-115,F
10/04/2014,03:35:00,999-999,651-336,F
10/04/2014,03:39:00,777-777,368-095,I
10/04/2014,03:39:00,888-888,953-940,I
10/04/2014,03:42:00,777-777,368-095,F
10/04/2014,04:05:00,777-777,644-829,I
10/04/2014,04:11:00,777-777,644-829,F
10/04/2014,04:31:00,999-999,460-290,I
10/04/2014,04:31:00,777-777,729-133,I
10/04/2014,04:31:00,888-888,953-940,F
10/04/2014,04:37:00,888-888,156-115,I
10/04/2014,04:42:00,888-888,156-115,F
10/04/2014,04:55:00,999-999,460-290,F
10/04/2014,05:09:00,999-999,606-969,I
10/04/2014,05:18:00,888-888,641-895,I
10/04/2014,05:28:00,777-777,729-133,F
10/04/2014,05:39:00,888-888,641-895,F
10/04/2014,05:51:00,888-888,384-737,I
10/04/2014,05:56:00,777-777,728-994,I
10/04/2014,06:04:00,999-999,606-969,F
10/04/2014,06:07:00,888-888,384-737,F
10/04/2014,06:42:00,888-888,566-456,I
10/04/2014,07:11:00,999-999,434-112,I
10/04/2014,07:35:00,999-999,434-112,F
10/04/2014,07:43:00,777-777,728-994,F
10/04/2014,08:01:00,999-999,667-741,I
10/04/2014,08:08:00,777-777,220-106,I
10/04/2014,08:09:00,999-999,667-741,F
10/04/2014,08:12:00,888-888,566-456,F
10/04/2014,08:15:00,888-888,545-330,I
10/04/2014,08:22:00,888-888,545-330,F
10/04/2014,08:23:00,999-999,654-531,I
10/04/2014,08:26:00,999-999,654-531,F
10/04/2014,08:33:00,888-888,530-135,I
10/04/2014,08:35:00,777-777,220-106,F
10/04/2014,08:44:00,999-999,523-638,I
10/04/2014,08:45:00,888-888,530-135,F
10/04/2014,08:55:00,999-999,523-638,F
10/04/2014,09:11:00,999-999,205-205,I
10/04/2014,09:19:00,999-999,205-205,F
10/04/2014,09:38:00,888-888,910-460,I
10/04/2014,09:39:00,999-999,530-135,I
10/04/2014,09:40:00,888-888,910-460,F
10/04/2014,09:43:00,888-888,799-963,I
10/04/2014,09:51:00,888-888,799-963,F
10/04/2014,09:52:00,999-999,530-135,F
10/04/2014,09:53:00,777-777,128-973,I
10/04/2014,10:05:00,777-777,128-973,F
10/04/2014,10:08:00,999-999,990-940,I
10/04/2014,10:20:00,777-777,449-655,I
10/04/2014,10:21:00,999-999,990-940,F
10/04/2014,10:24:00,888-888,527-735,I
10/04/2014,10:26:00,888-888,527-735,F
10/04/2014,10:28:00,999-999,494-318,I
10/04/2014,10:35:00,777-777,449-655,F
10/04/2014,10:41:00,999-999,494-318,F
10/04/2014,10:46:00,999-999,814-087,I
10/04/2014,10:50:00,999-999,814-087,F
10/04/2014,10:56:00,999-999,668-901,I
10/04/2014,10:57:00,999-999,668-901,F
10/04/2014,11:09:00,777-777,667-741,I
10/04/2014,11:22:00,777-777,667-741,F
10/04/2014,11:24:00,777-777,394-441,I
10/04/2014,11:29:00,888-888,148-880,I
10/04/2014,11:29:00,777-777,394-441,F
10/04/2014,11:52:00,777-777,799-963,I
10/04/2014,12:01:00,777-777,799-963,F
10/04/2014,12:03:00,888-888,148-880,F
10/04/2014,12:12:00,888-888,386-800,I
10/04/2014,12:26:00,999-999,358-198,I
10/04/2014,13:08:00,999-999,358-198,F
10/04/2014,13:26:00,888-888,386-800,F
10/04/2014,13:29:00,999-999,836-032,I
10/04/2014,13:30:00,888-888,836-032,I
10/04/2014,13:30:00,888-888,836-032,F
10/04/2014,13:36:00,999-999,836-032,F
10/04/2014,13:40:00,888-888,641-895,I
10/04/2014,13:54:00,888-888,641-895,F
10/04/2014,13:57:00,888-888,422-699,I
10/04/2014,14:10:00,777-777,828-423,I
10/04/2014,14:27:00,777-777,828-423,F
10/04/2014,14:29:00,888-888,422-699,F
10/04/2014,14:30:00,888-888,554-823,I
10/04/2014,14:49:00,777-777,494-318,I
10/04/2014,15:18:00,777-777,494-318,F
10/04/2014,15:33:00,888-888,554-823,F
10/04/2014,15:38:00,999-999,830-719,I
10/04/2014,15:43:00,777-777,645-289,I
10/04/2014,15:58:00,999-999,830-719,F
10/04/2014,16:07:00,888-888,560-747,I
10/04/2014,16:16:00,888-888,560-747,F
10/04/2014,16:35:00,777-777,645-289,F
10/04/2014,17:02:00,888-888,205-205,I
10/04/2014,17:19:00,777-777,860-973,I
10/04/2014,17:27:00,999-999,850-469,I
10/04/2014,17:32:00,777-777,860-973,F
10/04/2014,18:06:00,999-999,850-469,F
10/04/2014,18:12:00,777-777,110-733,I
10/04/2014,18:34:00,888-888,205-205,F
10/04/2014,18:51:00,999-999,860-973,I
10/04/2014,18:53:00,777-777,110-733,F
10/04/2014,19:07:00,999-999,860-973,F
10/04/2014,19:19:00,999-999,598-389,I
10/04/2014,19:21:00,999-999,598-389,F
10/04/2014,19:35:00,888-888,977-895,I
10/04/2014,19:41:00,999-999,295-838,I
10/04/2014,19:52:00,777-777,186-069,I
10/04/2014,19:53:00,999-999,295-838,F
10/04/2014,20:09:00,999-999,709-539,I
10/04/2014,20:09:00,999-999,709-539,F
10/04/2014,20:13:00,999-999,828-423,I
10/04/2014,20:16:00,999-999,828-423,F
10/04/2014,20:29:00,777-777,186-069,F
10/04/2014,20:33:00,777-777,654-531,I
10/04/2014,20:35:00,777-777,654-531,F
10/04/2014,21:20:00,999-999,550-515,I
10/04/2014,21:42:00,999-999,550-515,F
10/04/2014,21:55:00,777-777,664-435,I
10/04/2014,22:01:00,999-999,744-955,I
10/04/2014,22:04:00,999-999,744-955,F
10/04/2014,22:11:00,777-777,664-435,F
10/04/2014,22:13:00,777-777,315-664,I
10/04/2014,22:24:00,888-888,977-895,F
10/04/2014,22:39:00,999-999,659-340,I
10/04/2014,22:44:00,777-777,315-664,F
10/04/2014,22:48:00,777-777,664-435,I
10/04/2014,22:55:00,888-888,702-839,I
10/04/2014,23:00:00,888-888,702-839,F
10/04/2014,23:02:00,777-777,664-435,F
10/04/2014,23:25:00,777-777,524-351,I
10/04/2014,23:52:00,777-777,524-351,F
10/04/2014,23:58:00,777-777,837-966,I
11/04/2014,00:00:00,999-999,659-340,F
11/04/2014,00:01:00,888-888,638-077,I
11/04/2014,00:05:00,999-999,550-515,I
11/04/2014,00:18:00,888-888,638-077,F
11/04/2014,00:25:00,777-777,837-966,F
11/04/2014,00:33:00,999-999,550-515,F
11/04/2014,00:37:00,999-999,110-733,I
11/04/2014,00:41:00,999-999,110-733,F
11/04/2014,00:58:00,888-888,148-880,I
11/04/2014,01:03:00,999-999,129-360,I
11/04/2014,01:43:00,888-888,148-880,F
11/04/2014,01:47:00,777-777,641-895,I
11/04/2014,01:54:00,999-999,129-360,F
11/04/2014,02:13:00,777-777,641-895,F
11/04/2014,02:15:00,777-777,160-939,I
11/04/2014,02:16:00,999-999,853-439,I
11/04/2014,02:18:00,777-777,160-939,F
11/04/2014,02:21:00,777-777,705-911,I
11/04/2014,02:29:00,888-888,127-743,I
11/04/2014,03:06:00,777-777,705-911,F
11/04/2014,03:06:00,777-777,368-095,I
11/04/2014,03:15:00,999-999,853-439,F
11/04/2014,03:37:00,999-999,295-838,I
11/04/2014,03:51:00,777-777,368-095,F
11/04/2014,03:58:00,777-777,347-222,I
11/04/2014,04:06:00,777-777,347-222,F
11/04/2014,04:08:00,999-999,295-838,F
11/04/2014,04:10:00,777-777,659-340,I
11/04/2014,04:19:00,777-777,659-340,F
11/04/2014,04:19:00,999-999,110-733,I
11/04/2014,04:19:00,999-999,110-733,F
11/04/2014,04:32:00,999-999,799-963,I
11/04/2014,04:39:00,999-999,799-963,F
11/04/2014,04:50:00,999-999,744-955,I
11/04/2014,05:02:00,888-888,127-743,F
11/04/2014,05:29:00,888-888,441-856,I
11/04/2014,05:38:00,777-777,853-439,I
11/04/2014,05:41:00,999-999,744-955,F
11/04/2014,05:43:00,777-777,853-439,F
11/04/2014,06:02:00,999-999,853-439,I
11/04/2014,06:06:00,888-888,441-856,F
11/04/2014,06:13:00,777-777,295-838,I
11/04/2014,06:22:00,999-999,853-439,F
11/04/2014,06:37:00,888-888,175-794,I
11/04/2014,06:44:00,999-999,894-693,I
11/04/2014,06:45:00,777-777,295-838,F
11/04/2014,06:50:00,888-888,175-794,F
11/04/2014,06:51:00,888-888,598-558,I
11/04/2014,06:55:00,999-999,894-693,F
11/04/2014,07:01:00,888-888,598-558,F
11/04/2014,07:12:00,777-777,668-901,I
11/04/2014,07:27:00,888-888,110-733,I
11/04/2014,07:36:00,999-999,702-839,I
11/04/2014,07:49:00,999-999,702-839,F
11/04/2014,07:54:00,999-999,276-237,I
11/04/2014,07:55:00,888-888,110-733,F
11/04/2014,07:58:00,999-999,276-237,F
11/04/2014,08:04:00,999-999,422-699,I
11/04/2014,08:13:00,888-888,393-359,I
11/04/2014,08:14:00,999-999,422-699,F
11/04/2014,08:17:00,888-888,393-359,F
11/04/2014,08:27:00,999-999,203-051,I
11/04/2014,08:46:00,777-777,668-901,F
11/04/2014,08:48:00,999-999,203-051,F
11/04/2014,08:48:00,777-777,148-880,I
11/04/2014,08:49:00,888-888,148-880,I
11/04/2014,08:53:00,999-999,386-800,I
11/04/2014,08:56:00,888-888,148-880,F
11/04/2014,09:01:00,888-888,139-853,I
11/04/2014,09:06:00,888-888,139-853,F
11/04/2014,09:11:00,888-888,175-794,I
11/04/2014,09:12:00,999-999,386-800,F
11/04/2014,09:22:00,777-777,148-880,F
11/04/2014,09:32:00,888-888,175-794,F
11/04/2014,09:53:00,777-777,554-823,I
11/04/2014,10:00:00,888-888,434-112,I
11/04/2014,10:27:00,777-777,554-823,F
11/04/2014,10:40:00,888-888,434-112,F
11/04/2014,10:44:00,999-999,799-963,I
11/04/2014,11:02:00,999-999,799-963,F
11/04/2014,11:48:00,999-999,309-289,I
11/04/2014,11:57:00,777-777,420-586,I
11/04/2014,12:18:00,888-888,729-133,I
11/04/2014,12:37:00,777-777,420-586,F
11/04/2014,12:55:00,777-777,286-218,I
11/04/2014,12:58:00,999-999,309-289,F
11/04/2014,13:32:00,999-999,876-218,I
11/04/2014,13:56:00,777-777,286-218,F
11/04/2014,14:10:00,999-999,876-218,F
11/04/2014,14:13:00,999-999,895-483,I
11/04/2014,14:28:00,777-777,290-129,I
11/04/2014,14:32:00,888-888,729-133,F
11/04/2014,14:36:00,999-999,895-483,F
11/04/2014,14:36:00,888-888,374-261,I
11/04/2014,14:36:00,888-888,374-261,F
11/04/2014,14:38:00,777-777,290-129,F
11/04/2014,14:41:00,777-777,946-500,I
11/04/2014,14:52:00,888-888,705-198,I
11/04/2014,15:06:00,999-999,192-992,I
11/04/2014,15:13:00,777-777,946-500,F
11/04/2014,15:16:00,999-999,192-992,F
11/04/2014,15:18:00,777-777,186-069,I
11/04/2014,15:31:00,888-888,705-198,F
11/04/2014,15:42:00,999-999,479-476,I
11/04/2014,15:55:00,777-777,186-069,F
11/04/2014,16:21:00,888-888,131-864,I
11/04/2014,16:27:00,777-777,347-222,I
11/04/2014,16:28:00,999-999,479-476,F
11/04/2014,17:18:00,777-777,347-222,F
11/04/2014,17:31:00,888-888,131-864,F
11/04/2014,17:37:00,777-777,668-901,I
11/04/2014,17:41:00,999-999,133-919,I
11/04/2014,17:44:00,888-888,689-975,I
11/04/2014,17:48:00,999-999,133-919,F
11/04/2014,17:49:00,777-777,668-901,F
11/04/2014,17:53:00,999-999,853-439,I
11/04/2014,17:53:00,888-888,689-975,F
11/04/2014,17:59:00,777-777,460-290,I
11/04/2014,18:02:00,888-888,110-733,I
11/04/2014,18:41:00,888-888,110-733,F
11/04/2014,18:43:00,999-999,853-439,F
11/04/2014,18:54:00,777-777,460-290,F
11/04/2014,18:55:00,777-777,837-966,I
11/04/2014,18:57:00,888-888,523-638,I
11/04/2014,19:22:00,888-888,523-638,F
11/04/2014,19:26:00,999-999,215-621,I
11/04/2014,19:36:00,999-999,215-621,F
11/04/2014,19:45:00,888-888,705-198,I
11/04/2014,19:59:00,999-999,276-237,I
11/04/2014,20:00:00,777-777,837-966,F
11/04/2014,20:11:00,999-999,276-237,F
11/04/2014,20:16:00,999-999,946-500,I
11/04/2014,20:20:00,888-888,705-198,F
11/04/2014,20:30:00,999-999,946-500,F
11/04/2014,20:53:00,999-999,860-973,I
11/04/2014,20:56:00,777-777,156-115,I
11/04/2014,21:04:00,777-777,156-115,F
11/04/2014,21:09:00,777-777,651-336,I
11/04/2014,21:09:00,888-888,309-289,I
11/04/2014,21:15:00,888-888,309-289,F
11/04/2014,21:20:00,999-999,860-973,F
11/04/2014,21:25:00,777-777,651-336,F
11/04/2014,21:48:00,999-999,470-128,I
11/04/2014,21:52:00,777-777,689-975,I
11/04/2014,21:54:00,888-888,102-704,I
11/04/2014,21:58:00,999-999,470-128,F
11/04/2014,21:58:00,999-999,668-901,I
11/04/2014,21:59:00,888-888,102-704,F
11/04/2014,22:24:00,777-777,689-975,F
11/04/2014,22:29:00,777-777,711-811,I
11/04/2014,22:39:00,888-888,554-823,I
11/04/2014,22:40:00,999-999,668-901,F
11/04/2014,22:46:00,777-777,711-811,F
11/04/2014,23:03:00,999-999,185-652,I
11/04/2014,23:08:00,777-777,437-032,I
11/04/2014,23:13:00,777-777,437-032,F
11/04/2014,23:20:00,999-999,185-652,F
11/04/2014,23:34:00,999-999,205-205,I
11/04/2014,23:55:00,999-999,205-205,F
12/04/2014,00:01:00,777-777,186-069,I
12/04/2014,00:04:00,777-777,186-069,F
12/04/2014,00:13:00,888-888,554-823,F
12/04/2014,00:22:00,888-888,477-266,I
12/04/2014,00:25:00,999-999,894-693,I
12/04/2014,00:47:00,999-999,894-693,F
12/04/2014,01:12:00,888-888,477-266,F
12/04/2014,01:27:00,777-777,566-456,I
12/04/2014,01:43:00,999-999,702-839,I
12/04/2014,01:56:00,999-999,702-839,F
12/04/2014,01:57:00,777-777,566-456,F
12/04/2014,02:19:00,777-777,836-032,I
12/04/2014,02:51:00,999-999,830-001,I
12/04/2014,02:51:00,999-999,830-001,F
12/04/2014,03:05:00,777-777,836-032,F
12/04/2014,03:50:00,999-999,270-713,I
12/04/2014,03:51:00,999-999,270-713,F
12/04/2014,03:59:00,999-999,641-926,I
12/04/2014,04:05:00,888-888,560-747,I
12/04/2014,04:12:00,999-999,641-926,F
12/04/2014,04:15:00,888-888,560-747,F
12/04/2014,04:17:00,999-999,711-811,I
12/04/2014,04:20:00,777-777,243-240,I
12/04/2014,04:27:00,999-999,711-811,F
12/04/2014,04:38:00,999-999,468-349,I
12/04/2014,04:38:00,888-888,990-940,I
12/04/2014,04:41:00,999-999,468-349,F
12/04/2014,04:48:00,777-777,243-240,F
12/04/2014,04:54:00,888-888,990-940,F
12/04/2014,05:04:00,999-999,550-515,I
12/04/2014,05:04:00,888-888,894-693,I
